Population;Fish ID;Replicat;Fish Weight (g);Fish Standard length (cm);Time for shelter test (h);Temperature for shelter test (°C);Time for new env test (h);Temperature for new env test (°C);Cumulative duration in shelter (s);Total distance moved (cm)
EPP;EPP1056;1;0,267;2,603;13:00;30,5;22:40;27,9;73,64;2977,38
EPP;EPP1057;1;0,446;3,184;12:05;29,1;22:00;28,7;47,48;3589,35
EPP;EPP1064;1;0,356;2,882;13:00;29,9;22:40;27,9;150,76;3252,76
EPP;EPP1067;1;0,337;2,885;12:05;29,7;22:00;28,5;31,52;3842,45
EPP;EPP1071;1;0,541;3,322;10:15;28,9;20:15;30,6;161,52;2643,66
EPP;EPP1073;1;0,473;3,154;13:00;29,7;22:40;27,7;61,48;3802,12
EPP;EPP1075;1;0,966;4,144;11:10;28,8;20:53;30,4;326,16;2573
EPP;EPP1077;1;0,306;2,841;11:10;29,2;20:53;30,3;32,88;3402,91
EPP;EPP1078;1;0,814;3,873;10:15;28,9;20:15;30,7;53,36;4370,38
EPP;EPP1079;1;0,564;3,367;12:05;29,3;22:00;28,6;111,6;3112,86
EPP;EPP1082;1;0,628;3,552;10:15;29,0;20:15;30,7;392,96;2521,23
EPP;EPP1083;1;0,767;3,903;11:10;29,2;20:53;30,5;250,04;2787,61
EPP;EPP1091;1;0,406;3,005;11:01;28,9;18:47;31,0;46,8;2437,97
EPP;EPP1092;1;0,362;2,829;10:13;27,7;18:00;30,9;341;2326,97
EPP;EPP1099;1;0,293;2,616;13:08;31,7;21:20;29,1;180,52;2798,22
EPP;EPP1100;1;0,479;3,227;10:13;27,3;18:00;30,6;89,92;1624,4
EPP;EPP1101;1;0,558;3,358;09:26;28,2;17:25;30,7;114,76;2582,37
EPP;EPP1103;1;0,515;3,228;10:13;27,8;18:00;30,4;227,48;1930,09
EPP;EPP1106;1;0,397;2,967;09:26;28,1;17:25;30,7;166,16;3037,57
EPP;EPP1107;1;0,413;3,033;11:47;29,2;20:40;29,2;89,56;2015,9
EPP;EPP1110;1;0,302;2,733;13:08;31,8;21:20;29,1;20,36;2254,98
EPP;EPP1113;1;0,383;2,917;11:47;29,2;20:40;28,8;76,48;3737,58
EPP;EPP1114;1;0,347;2,792;09:26;28,3;17:25;30,8;446,08;1914
EPP;EPP1123;1;0,346;2,763;08:38;28,3;16:50;31,3;461,28;1972,84
EPP;EPP1125;1;0,307;2,712;11:47;29,4;20:40;28,8;341,96;2744,18
EPP;EPP1127;1;0,324;2,766;11:01;27,5;18:47;30,7;152,48;3531,1
EPP;EPP1130;1;0,418;2,764;11:01;27,5;18:47;31,1;239,04;2595,71
EPP;EPP1133;1;0,358;2,845;13:08;31,7;21:20;29,1;91,2;2350,33
EPP;EPP1137;1;0,441;3,12;08:38;28,3;16:50;31,2;286,76;2682,09
EPP;EPP1139;1;0,369;3,033;08:38;27,8;16:50;31,2;267,28;2510,75
EPP;EPP1438;1;0,276;2,599;09:11;28,4;18:46;30,5;346,04;2027,03
EPP;EPP1441;1;0,424;3,032;09:11;28,3;18:46;30,4;300,16;2994,08
EPP;EPP1443;1;0,317;2,725;09:11;28,3;18:46;30,5;555,68;1640,33
EPP;EPP1448;1;0,38;2,798;10:00;28,5;19:17;30,0;306,52;2466,03
EPP;EPP1450;1;0,408;2,934;10:00;28,5;19:17;30,0;334,68;2567,92
EPP;EPP1451;1;0,369;2,834;10:00;28,3;19:17;30,1;406,8;2515,85
EPP;EPP1452;1;0,305;2,607;10:43;27,9;19:48;29,9;517,56;1802,41
EPP;EPP1453;1;0,367;2,894;10:43;28,4;19:48;29,6;238,56;3035,85
EPP;EPP1456;1;0,278;2,597;10:43;28,1;19:48;30,0;708,36;1365,83
EPP;EPP1461;1;0,45;3,024;11:29;28,1;20:20;27,6;497,36;1940,44
EPP;EPP1463;1;0,301;2,637;11:29;28,3;20:20;27,7;451,28;2259,04
EPP;EPP1464;1;0,6;3,298;11:29;27,9;20:20;28,6;782,12;1761,6
EPP;EPP1056;2;0,267;2,603;11:25;28,4;15:37;32,0;69,08;2708,87
EPP;EPP1057;2;0,446;3,184;10:40;28,5;15:04;32,4;1200;0
EPP;EPP1064;2;0,356;2,882;11:25;28,6;15:37;32,1;42,48;3280,82
EPP;EPP1067;2;0,337;2,885;10:40;28,7;15:04;32,1;77,8;2918,18
EPP;EPP1071;2;0,541;3,322;09:07;28,7;13:56;31,9;414;1780,66
EPP;EPP1073;2;0,473;3,154;11:25;28,7;15:37;32,0;319,08;2072,34
